user,UFeature0,UFeature1,UFeature2,UFeature3,UFeature4,UFeature5,UFeature6,UFeature7,UFeature8,UFeature9,UFeature10,UFeature11,UFeature12,UFeature13,UFeature14,UFeature15
66.0,-0.016708432,0.06603525,0.024500439,0.12260747,-0.030493412,0.13738565,0.11627011,-0.0075982534,0.022101073,-0.13822933,-0.04937605,-0.060637683,-0.035449766,-0.12676463,-0.043390736,-0.068474166
67.0,0.014255614,-0.003119836,-0.07119339,-0.05538771,-0.012555722,-0.013492509,-0.027423726,-0.07139463,0.02999883,0.14769314,0.11159932,0.03392269,0.0587834,-0.02970185,0.023795705,-0.040234804
68.0,0.14079848,0.10951545,-0.068331935,-0.062340267,-0.07043757,0.08138222,0.050012488,0.03884469,-0.012934453,0.1750841,0.13232183,0.09766324,-0.030181145,-0.038666993,0.021160733,-0.053245015
69.0,0.13934995,0.040447753,0.008463378,-0.011291562,0.09663067,0.027576424,0.1171759,-0.087631695,-0.013779493,0.012294363,-0.062013794,-0.024366062,0.07147639,0.06858147,0.10420023,0.038137704
70.0,-0.13515319,0.16073607,-0.010686657,0.07339359,0.01255076,-0.09168078,0.08862036,0.11836369,0.020768346,-0.12892696,-0.09148129,-0.007204442,0.0022271257,0.067192025,-0.080435865,-0.03794174
71.0,0.012301272,0.014131633,-0.15423216,-0.10102425,-0.0070188344,0.013599869,-0.053873613,-0.05615412,0.054640267,-0.01620835,-0.11113964,-0.061019037,-0.08747466,-0.04349563,0.017122481,0.033908334
72.0,0.0536421,0.029615467,-0.08335856,0.09760403,-0.13614422,-0.044208508,-0.048133317,0.027249051,0.11927912,0.11133447,0.12456918,-0.15530002,-0.010987731,0.04273249,-0.07728677,-0.0643927
73.0,0.030410416,0.11820421,-0.097845174,0.0386889,0.07311762,-0.013278997,-0.0747372,-0.058167305,0.08749438,0.05955774,0.1106487,0.00069246395,0.08166944,-0.012970951,-0.08584739,-0.0872306
74.0,-0.027456352,-0.022140903,-0.086921856,0.082768746,-0.0076264255,0.110298835,0.02571796,0.07687751,-0.036254253,-0.061558828,-0.12774321,-0.06625634,-0.11516794,0.0751902,-0.07652669,-0.07648561
75.0,-0.034719903,0.061534896,-0.06946152,0.15671341,0.06566539,0.038814276,-0.05632547,-0.051720288,-0.010973068,0.10957698,0.0018448012,0.07847034,-0.101226464,-0.049813554,0.057149466,-0.03259047
76.0,-0.13110597,-0.065512195,-0.00196355,-0.12035341,0.063062616,0.03894845,-0.12158393,0.06245733,0.028045217,0.046178907,0.014247556,-0.16994365,0.09473869,0.14866374,0.08553718,0.01753912
77.0,-0.030826893,0.09560089,0.004130087,0.10244389,0.0064991764,-0.032342374,0.15220618,-0.10880618,0.05169252,-0.087982215,0.02328257,0.007261452,-0.103469566,-0.11582034,-0.07775587,0.007409057
78.0,0.026871605,0.04762382,0.12947215,0.012959653,-0.17614295,-0.17758156,-0.13096273,-0.026830414,0.05623207,-0.031844534,0.00865956,0.058720775,0.018937591,0.03826263,-0.049292125,-0.026586544
79.0,-0.059586167,0.0057924394,0.17911892,-0.01183842,0.114312686,-0.025116509,-0.107740685,-0.05306001,0.12759337,-0.15619269,0.010017333,-0.07509631,0.06763675,0.020531973,0.06996222,8.414857e-05
80.0,0.019184472,0.0056088646,0.123346,-0.008847684,-0.02362194,-0.022439029,-0.103715464,0.0042537185,0.09940645,0.12905703,0.02121713,-0.12542093,0.077558696,0.067981064,-0.005922658,-0.014413911
81.0,0.09866791,-0.054202,0.14431785,0.12469741,0.0066436864,-0.06021358,-0.020322584,-0.12358618,-0.06348236,-0.089814946,-0.0037069272,-0.08129983,0.04085508,-0.1327986,0.1816548,0.010083989
82.0,0.07308506,0.0024755525,0.02062664,0.12497518,-0.018793056,0.1795053,-0.062435858,-0.05485501,0.021413242,0.025984539,-0.07819172,0.040536743,0.02875968,-0.07378395,-0.037019562,-0.04033054
83.0,-0.12501259,-0.1210554,0.04178259,-0.07144772,0.006713419,-0.02206445,0.13219255,-0.037769414,0.05246441,0.021469343,0.04840266,0.014455264,0.036385655,-0.03179672,0.084542386,-0.04369357
84.0,-0.13788745,0.008596018,-0.18273818,-0.035681292,-0.01186278,-0.056159552,0.149443,0.053130917,0.062227644,0.0915804,0.15006272,0.06639291,0.1251006,-0.035025995,0.011039484,0.018426405
85.0,0.057906736,-0.102691665,-0.0038183483,-0.0026119743,-0.03891038,0.012009785,-0.05495542,-0.025182445,-0.15682544,-0.05160902,-0.11918756,0.07628951,-0.013552414,0.08082083,-0.01661454,-0.13331804
86.0,0.15103738,0.06434011,0.10528309,-0.0042743785,-0.019422596,-0.07689181,0.07870756,0.17006195,-0.14145663,-0.10403484,-0.03077903,-0.018036878,-0.023676028,-0.15166105,0.07927324,-0.0790694
87.0,0.043917283,-0.074418895,-0.011245205,-0.12626734,0.0011520421,-0.08088876,-0.067239225,-0.038495723,-0.077414334,-0.018915234,-0.05741517,0.062693566,0.055468604,-0.06652412,0.013495315,0.03329264
88.0,0.06939549,0.045355726,0.069038525,0.021543188,-0.054261796,0.07347856,-0.117405176,0.05104613,-0.02440836,-0.070622385,0.017819047,0.02647076,0.10976059,0.07330742,-0.114056885,-0.10521803
89.0,-0.058948647,0.07081222,-0.082204096,0.089808404,0.105657496,0.09613363,0.05586303,-0.054660805,0.14634798,0.035967335,0.014380727,-0.022598276,0.013705811,-0.05625807,0.014713704,-0.028083367
90.0,-0.046729263,-0.022676228,0.042470694,-0.13645196,-0.11959052,0.12729053,0.10047032,0.12639949,-0.020081468,-0.11444435,-0.06132593,0.12841988,0.07145761,0.15112907,0.0597884,-0.020488925
91.0,0.10192787,0.15507385,0.02936955,-0.12687126,0.019819876,-0.1277204,-0.04112995,-0.120245196,-0.009832126,-0.06058262,-0.015827984,0.030754618,-0.037291765,0.011189477,-0.15103307,0.0784631
92.0,0.03185216,0.06862921,-0.07884451,-0.13502145,-0.052407376,-0.079476215,-0.04119993,-0.029910687,0.065388806,0.1192011,0.06967389,-0.021066364,-0.13275145,0.09518204,0.004053639,-0.033262867
93.0,0.034427226,-0.05585019,0.09334119,0.12560906,0.033618174,-0.028011283,-0.12102688,-0.08498866,-0.08451792,-0.0057986146,0.029019337,0.047194563,0.006489011,-0.02769548,-0.030450288,-0.1291107
94.0,0.15968342,-0.024110414,-0.09298043,0.046168216,0.13612087,-0.14650641,-0.06667034,0.06555705,0.0018104794,0.056367043,-0.07424994,-0.043609034,0.11650684,0.15646112,-0.008108686,-0.01816933
95.0,0.037005566,-0.13353871,-0.0282037,0.027408807,0.0069308644,-0.051942743,-0.08865927,-0.047427077,0.15016162,0.06780806,0.0007354303,0.086508736,-0.033666275,0.06588336,0.016007904,-0.049227547
96.0,-0.030227961,-0.056661118,0.03783354,0.08420947,-0.1107186,0.025040168,0.0369571,-0.065605454,-0.054984406,-0.009018988,0.021461815,-0.011667727,0.029669516,-0.06774693,-0.10352076,0.11750098
97.0,-0.08839563,-0.004888558,-0.13845073,-0.080433674,-0.10648432,-0.071321614,0.15151505,0.04228565,0.028545013,-0.04721308,-0.07312684,-0.0149985105,-0.026392557,-0.02942061,0.085636415,-0.018361678
98.0,0.058983043,-0.15707871,-0.107262425,0.12970996,0.07927091,-0.02874209,-0.120086014,-0.017044986,0.06785584,-0.061473805,-0.0029571545,-0.10024867,0.074835375,-0.009763673,0.06443835,0.00027312603
99.0,-0.0041395407,0.049065005,-0.0192721,-0.03659394,-0.09313342,0.0578014,-0.008697655,-0.102355726,-0.066051975,-0.015175448,0.14241982,0.055454817,0.04601267,0.015508993,0.02023017,0.11648489
100.0,0.006246304,0.06532476,0.105759114,0.107815504,0.062077444,0.027898332,0.022845061,0.10982036,-0.062597275,-0.05992779,0.08247006,0.054729097,-0.08371109,-0.016913645,-0.01129811,-0.13800442
101.0,-0.083736986,-0.14482081,-0.016164038,-0.049721763,-0.12349514,-0.109326914,-0.10340646,-0.024813188,0.107472405,0.01724006,0.12113192,0.12198172,-0.011936193,-0.009997323,0.034496043,-0.06623067
102.0,0.062210135,-0.02783835,-0.12565877,-0.11357027,0.06134878,-0.049537558,0.142151,0.084502034,0.06516746,-0.066373415,0.013810862,0.04396855,-0.09026097,-0.07576944,-0.11998823,0.0551261
103.0,0.12385043,0.14339545,0.06431506,0.007622609,-0.18814284,-0.03731053,0.16942367,0.02610273,-0.12633705,-0.13678876,0.081202544,0.08461512,-0.0909184,0.05434456,0.017596705,0.01985615
104.0,0.07497784,-0.14415412,-0.03270828,-0.06590839,0.024361689,0.059700537,-0.05475238,0.0045333477,0.014658229,0.023021037,-0.043584634,0.12193092,-0.06279835,-0.12925062,-0.002851565,0.041171346
105.0,0.023713395,0.028184872,0.043836545,0.089766815,0.08761897,-0.038755197,0.01738997,0.14916205,-0.11486532,0.034139667,-0.04588165,0.0795196,-0.011813366,0.074349165,0.019963281,-0.07155178
106.0,0.093690075,0.07888658,0.11140465,0.03872564,-0.045618247,0.09006865,-0.053785942,-0.09616668,0.11444883,0.013723071,0.026986454,-0.01711973,0.047318604,0.12374648,0.14099313,-0.051191796
107.0,-0.08076022,0.122728616,-0.115250126,-0.05163549,0.23243244,-0.03992035,0.031985134,-0.09563297,-0.03990123,-0.0070163477,0.012137611,-0.20436057,-0.13359255,-0.079425156,-0.06048457,-0.14804369
108.0,-0.052358553,-0.012452728,-0.15823193,-0.0784916,0.00150446,-0.014236225,-0.16470775,0.13974334,-0.037911057,-0.09218891,-0.1418853,-0.119943306,-0.090403415,0.03638458,-0.20185682,-0.005669251
109.0,-0.040075846,-0.046321932,-0.16362855,-0.111022785,-0.024594598,0.017838478,0.05366811,-0.059761807,0.0059150406,0.02818808,0.1315976,-0.04318321,-0.08964328,0.08418406,0.08883478,0.16410965
110.0,0.027891824,-0.0028939573,0.10149588,0.0427143,0.053776477,0.0047862544,-0.1164512,0.03509893,0.14958599,0.076193504,-0.018367724,-0.03885772,-0.13315442,0.10734986,0.027866986,-0.022773704
111.0,0.053052906,0.09443702,-0.065631926,-0.13922924,-0.010154142,0.037496444,0.04489199,0.074057005,0.04688977,0.062974274,-0.010200323,-0.04823367,-0.027508816,-0.020725297,0.045466248,0.048018403
112.0,-0.11818176,0.09776888,0.10890397,-0.06610741,0.018053234,0.05443991,0.12201357,-0.070651494,-0.026043748,0.012510096,-0.0007531602,0.046281517,0.15355583,0.10419068,-0.13069192,-0.004743031
113.0,-0.017820587,-0.12663881,0.10801432,-0.06863318,0.057100136,-0.02072239,-0.049525566,0.059448775,0.13124542,0.1296354,0.056284778,0.0930131,-0.14452109,-0.0087924525,0.17641762,0.06518774
114.0,-0.11838197,-0.075119466,-0.124585055,-0.019588137,-0.013864068,0.0033716531,0.011295545,-0.07577804,0.02720324,0.11536234,0.074969694,0.160253,0.022692095,-0.08249582,-0.13884577,0.04716213
115.0,0.07851118,-0.10638298,-0.018146398,-0.021137204,-0.0003549068,0.11567156,0.05018928,-0.030687094,-0.07608645,-0.06478275,0.052260183,0.067704774,-0.05599652,0.029935379,-0.014934412,0.0058957823
116.0,0.050660715,-0.03362896,0.00628135,-0.056838877,-0.06456305,0.06505698,0.02382575,0.011125963,-0.13774751,-0.12239423,0.017783714,-0.16981097,-0.02266144,0.14054793,0.11881892,0.040739503
117.0,-0.05221739,-0.099287294,-0.0050162417,-0.07923235,0.14021736,0.102191575,-0.01950333,0.058788415,0.0072976663,0.031598516,0.046012525,-0.016098106,0.1254835,-0.08767487,0.07137413,-0.05293756
118.0,0.11872204,0.16524084,0.122318186,-0.04002214,0.17609553,-0.010149625,-0.09227475,-0.014256736,-0.15021603,0.075014114,-0.017784419,-0.03641922,0.008166219,0.050478835,0.08092172,-0.08829183
119.0,-0.009969719,-0.040551502,-0.09891512,0.017094098,-0.110567,0.13623434,0.14544594,-0.012436412,0.011194126,-0.10778676,-0.032380894,0.16841136,0.0086071445,-0.029194094,0.09022579,0.023765877
120.0,-0.11652873,0.06284562,-0.02325722,-0.107878245,0.07143471,0.036553178,0.1399219,-0.04110619,-0.0001442106,0.0017496173,-0.04962318,-0.042659983,0.053955387,0.020898014,-0.037543576,-0.020100275
121.0,0.02833063,0.03217939,0.020718414,0.02432075,0.11289229,0.16185842,0.016913878,0.08995703,0.07816619,0.011866754,-0.08160697,-0.053275663,0.052485216,-0.011073164,-0.1045029,-0.057216324
122.0,-0.047753934,0.16447918,0.07800256,-0.035232473,-0.087274,0.05043206,0.022408126,0.06734937,0.044179622,0.07291819,0.035280004,-0.0626673,-0.015930397,-0.104583085,0.001813563,0.027696315
123.0,-0.0059854537,-0.018524094,0.1411701,-0.18468495,-0.19291171,-0.013659392,0.052438915,0.099825814,0.010393582,-0.07749527,0.11756077,-0.039344586,0.1134792,0.02482022,-0.07875731,0.07663434
124.0,0.03231807,-0.038957667,-0.082388796,0.09057574,0.056571633,0.016322432,0.09244536,0.03684642,-0.13418485,-0.103990324,0.00042528834,-0.025759555,0.048604727,0.024838384,0.0696761,-0.14750469
125.0,0.017104587,-0.03279887,-0.03098534,0.033867948,0.038338926,0.094037786,0.073919915,-0.037888326,0.046197478,0.049131654,-0.029233964,-0.12291173,-0.017956581,-0.02142096,0.039077204,0.106083676
126.0,0.086823665,0.022468014,0.042101704,-0.060334235,0.047083676,0.012377335,-0.06777373,-0.027052067,-0.0092136,0.041242935,0.052811824,0.12698622,-0.05835275,-0.08231375,-0.0015411816,-0.008585767
